date,states,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently
20200927,56,7080459,90648092,11136,29432,404083,6080
20200926,56,7045170,89982483,11183,29554,403325,6057
20200925,56,6997437,89096343,10905,29769,402171,6133
20200924,56,6941911,88239824,12008,30043,400840,6168
20200923,56,6898139,87416375,10535,29905,399252,6113
20200922,56,6859572,86615497,7999,29459,397801,6111
20200921,56,6810133,85942856,13241,28755,396355,6071
20200920,56,6770661,85303584,13192,28608,395215,6015
20200919,56,6734366,84512983,13217,29035,394699,6070
20200918,56,6688827,83566093,11805,29501,393632,6175
20200917,56,6641341,82709952,11768,29900,392173,6278
20200916,56,6597783,81976741,10587,30278,390624,6308
20200915,56,6557762,81351140,4966,30328,389107,6310
20200914,56,6522317,80701552,10494,29895,387616,6238
20200913,56,6488453,80329804,10467,29810,386679,6233
20200912,56,6454000,79717367,10403,30655,386087,6451
20200911,56,6411913,78910645,10813,31421,385011,6379
20200910,56,6366986,78189575,10530,32421,383458,6531
20200909,56,6329405,77613114,6551,32562,381926,6646
20200908,56,6298422,77059685,8983,32262,379866,6542
20200907,56,6276199,76573198,8986,31999,378907,6630
20200906,56,6247517,76013582,8946,32372,378415,6700
20200905,56,6214400,75310873,9021,33502,377926,6766
20200904,56,6169495,74549817,10118,34099,376639,6924
20200903,56,6117904,73699205,9987,34682,375400,6921
20200902,56,6073190,73019975,9293,35569,373864,7087
